keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
"Sommos, Inc.",,,,"AVENIDA ALMIRANTE BARROSO 00091 SAL 507 SAL 508,CENTRO,RIO DE JANEIRO,20031-916, BRA",,,,,,,
Uniquely in place (UIP),,,,"AVENIDA ALMIRANTE BARROSO 00091 SAL 507 SAL 508,CENTRO,RIO DE JANEIRO,20031-916, BRA",,,,,,,
TheMe,,,,"1525 SPRUCE ST,PUEBLO, CO,81004-3428, USA",,,,,,,
TheMe,SHANGHAI INTERNATIONAL THEME PARK COMPANY LTD,GHNCZUNDDGF1,SRNY1,"NO.1-600,901-1100, Lane 255,West Shendi Road,Shanghai,(blank), China","NO.753, North Shendi Road,Shanghai, Shanghai,(blank), China",,"Apr 2, 2011",Smile Wang,Peiyao Wang,"(blank), China",Not Applicable
TheMe,LDNA LLC,K61BN13Y7WG1,9TQ98,"12064 Theme Aly,Orlando, Florida,32832-5144, United States","12064 Theme Aly,Orlando, Florida,32832-5144, United States",,"Jan 20, 2023","Daniel Galan, OWNER","Daniel Galan, OWNER","Florida, United States",Florida 09
TheMe,GILROY GARDENS FAMILY THEME PARK,LYHSLYMAWSJ8,8YDN7,"3050 Hecker Pass RD,Gilroy, California,95020-9411, United States","3050 Hecker Pass RD,Gilroy, California,95020-9411, United States",https://gilroygardens.org/,"Mar 22, 1997","Patti Stephens, Financial Controller","Barbara-Lea Granter, VP General Manager","Delaware, United States",California 19
TheMe,GREEN THEME TECHNOLOGIES INC.,NNKWLJBRGJM5,88EJ4,"4132 Jackie RD SE,Rio Rancho, New Mexico,87124-6624, United States","4132 Jackie RD SE,Rio Rancho, New Mexico,87124, United States",https://www.greenthemetek.com/,"Apr 3, 2018",Purvi Mody,Purvi Mody,"Delaware, United States",New Mexico 01
virginia tech,,,,"VA TECH UNIV,BLACKSBURG, VA,24061-0001, USA",,,,,,,
virginia tech,,,,"800 DRILLFIELD DR,BLACKSBURG, VA,24061-1052, USA",,,,,,,
virginia tech,,,,"SERVICE ROAD, ADYALAMPATTU, MADURAVOYAL,CHENNAI,(blank), IND",,,,,,,
virginia tech,WEATHERSBY CLAIMS LLC,YNTDLHHEW4H7,9XEQ5,"1032 Virginia Tech TRL,Virginia Beach, Virginia,23455-6662, United States","1032 Virginia Tech TRL,Virginia Beach, Virginia,23455-6662, United States",https://www.craftsmanshipbyweathersby.com/,"May 22, 2019",Kelley N Weathersby- Person,Kelley N Weathersby- Person,"Virginia, United States",Virginia 02
virginia tech,,,,"VIRGINIA TECH CAMPUS,BLACKSBURG, VA,24060, USA",,,,,,,
Kavita Kapur,,,,"VA TECH UNIV,BLACKSBURG, VA,24061-0001, USA",,,,,,,
Kavita Kapur,,,,"800 DRILLFIELD DR,BLACKSBURG, VA,24061-1052, USA",,,,,,,
Kavita Kapur,,,,"SERVICE ROAD, ADYALAMPATTU, MADURAVOYAL,CHENNAI,(blank), IND",,,,,,,
Kavita Kapur,WEATHERSBY CLAIMS LLC,YNTDLHHEW4H7,9XEQ5,"1032 Virginia Tech TRL,Virginia Beach, Virginia,23455-6662, United States","1032 Virginia Tech TRL,Virginia Beach, Virginia,23455-6662, United States",https://www.craftsmanshipbyweathersby.com/,"May 22, 2019",Kelley N Weathersby- Person,Kelley N Weathersby- Person,"Virginia, United States",Virginia 02
Kavita Kapur,"POON,TING-CHUNG",RZY1WBWY61H4,49N78,"302 Whittemore Hall,Blacksburg, Virginia,24061-0001, United States","Dept Of Electrical Engineering,Virginia Tech,Blacksburg, Virginia,24061-0001, United States",,"Jan 19, 2006","Luke Lester, Dept Head",KATHY Atkins,"Virginia, United States",Virginia 09
