keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Gambix,,,,"30 N GOULD ST,STE R,SHERIDAN, WY,82801-6317, USA",,,,,,,
Tetra Fields LLC,TETRA FIELDS LLC,FCKARMCJLC51,8J2G0,"13308 Arctic AVE,Rockville, Maryland,20853-3012, United States","13308 Arctic AVE,Rockville, Maryland,20853-3012, United States",https://www.tetrafields.com/,"Feb 24, 2020","Thomas W Chon, Chief Executive Officer","Steve K Chon, Chief Operating Officer","Maryland, United States",Maryland 08
Chemicals,TETRA FIELDS LLC,FCKARMCJLC51,8J2G0,"13308 Arctic AVE,Rockville, Maryland,20853-3012, United States","13308 Arctic AVE,Rockville, Maryland,20853-3012, United States",https://www.tetrafields.com/,"Feb 24, 2020","Thomas W Chon, Chief Executive Officer","Steve K Chon, Chief Operating Officer","Maryland, United States",Maryland 08
Blue Rose Consulting Group,BLUE ROSE CONSULTING GROUP INC,W44MU5WNCXU7,7UFA9,"880 Harrison ST SE STE 162,Leesburg, Virginia,20175-4530, United States","880 Harrison ST SE,Suite 162,Leesburg, Virginia,20175-4530, United States",https://www.bluerose-consulting.com/,"Mar 24, 2017",Todd Weiler,Todd A Weiler,"District Of Columbia, United States",Virginia 10
