keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
Ballmecca Inc.,BALLMECCA INC.,DLPVMSGG4KJ7,9FWX3,"4709 Harford Road #163,Baltimore, Maryland,21214-3261, United States","4709 Harford Road #163,Baltimore, Maryland,21214-3261, United States",https://ballmecca.com/,"Oct 1, 2022","Enmanuel Madera, CEO","Enmanuel Madera, CEO","Delaware, United States",Maryland 07
Paterson Aerospace Systems Corp.,PATERSON AEROSPACE SYSTEMS CORP,DGCPBJ9UAE21,9H2E6,"10708 Norbourne Farm RD,1401,Upper Marlboro, Maryland,20772-4698, United States","10708 Norbourne Farm RD,Upper Marlboro, Maryland,20772, United States",https://patersonaerospace.com/,"Jul 7, 2022",Kaylon Paterson,Kaylon Paterson,"Delaware, United States",Maryland 05
SafeRails,PATERSON AEROSPACE SYSTEMS CORP,DGCPBJ9UAE21,9H2E6,"10708 Norbourne Farm RD,1401,Upper Marlboro, Maryland,20772-4698, United States","10708 Norbourne Farm RD,Upper Marlboro, Maryland,20772, United States",https://patersonaerospace.com/,"Jul 7, 2022",Kaylon Paterson,Kaylon Paterson,"Delaware, United States",Maryland 05
TSP Solutions LLC,"TSP SOLUTIONS, LLC",LJXRYQ3A78W7,8GUN1,"7057 Production CT,Florence, Kentucky,41042-3029, United States","7057 Production Court,Florence, Kentucky,41042, United States",https://www.tspsolutions.biz/,"Mar 1, 2009","Charles Mcgregor, President","Charles Mcgregor, President","Kentucky, United States",Kentucky 04
TSP Solutions LLC,"TSP SOLUTIONS, LLC",UVDHREGFWHN6,01Q61,"4801 Lincoln RD NE,Albuquerque, New Mexico,87109-2304, United States","4801 Lincoln RD NE,Albuquerque, New Mexico,87109-2304, United States",,"Jun 11, 2024",Tim Brooks,Tim Brooks,"New Mexico, United States",New Mexico 01
TSP Solutions LLC,TEK SECURITY PRO LLC,ERJ3GQQKMCL6,9W9U7,"813 Rivecon AVE,Orlando, Florida,32825-7323, United States","1910 Dartmouth DR,Durham, North Carolina,27705, United States",,"Jan 15, 2023",Brian Blissett,Brian Blissett,"Florida, United States",Florida 10
"Uneo Inc (""Uneo Health"")","TSP SOLUTIONS, LLC",UVDHREGFWHN6,01Q61,"4801 Lincoln RD NE,Albuquerque, New Mexico,87109-2304, United States","4801 Lincoln RD NE,Albuquerque, New Mexico,87109-2304, United States",,"Jun 11, 2024",Tim Brooks,Tim Brooks,"New Mexico, United States",New Mexico 01
"Uneo Inc (""Uneo Health"")",TEK SECURITY PRO LLC,ERJ3GQQKMCL6,9W9U7,"813 Rivecon AVE,Orlando, Florida,32825-7323, United States","1910 Dartmouth DR,Durham, North Carolina,27705, United States",,"Jan 15, 2023",Brian Blissett,Brian Blissett,"Florida, United States",Florida 10
