keyword,legal_name,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,state_country_incorporation,congressional_district
CooperSoft,COOPERSOFT INC.,VCZ1ANBRUTX5,42MZ4,"3407 Dunwood Crossing DR,Bowie, Maryland,20721-1266, United States","3407 Dunwood Crossing DR.,Bowie, Maryland,20721-1266, United States",http://www.coopersoft.com/,"Jul 29, 2005","JEFFREY Cooper, CEO","JEFFREY Cooper, CEO","Maryland, United States",Maryland 05
University of Maryland,,,,"4176 CAMPUS DRIVE BUILDING 084 RM 1112,COLLEGE PARK, MD,20740, USA",,,,,,,
University of Maryland,,,,"0151 Glenn L Martin Hall Bldg 88,null,College Park, MD,20742-0001, USA",,,,,,,
University of Maryland,,,,"8322 Bellona Ave Ste 100,null,Towson, MD,21204-2065, USA",,,,,,,
University of Maryland,LEUKOSIGHT INC,CPD8XYNJ4YE5,4GP51,"1107 Microbiology Bldg 231 B Campus DR,College Park, Maryland,20742-4450, United States","231B Microbiology Bldg,College Park, Maryland,20742, United States",,"May 4, 2006",DAVID Mosser,Debra Weinstein,"Maryland, United States",Maryland 05
University of Maryland,UNIVERSITY OF MARYLAND,PNK2G91GKFW6,3LML6,"2101 Van Munching Hall,College Park, Maryland,20742-1821, United States","7805 Regents Drive,University Of Maryland,College Park, Maryland,20742, United States",https://www.umd.edu/,"Aug 1, 1984",Rebecca Hunsaker,Denise Clark,"(blank), (blank)",Maryland 04
